sku,category,internal,external,bonus,ukony,devices,mask
S8604,Baterie a displeje PB SK,PB iPhone 11 display,iPhone 11 display,,,,
S8269,Baterie a displeje PB SK,PB iPhone 11 Pro baterie,iPhone 11 Pro baterie,,,,
S8603,Baterie a displeje PB SK,PB iPhone 11 Pro display,iPhone 11 Pro display,,,,
S8268,Baterie a displeje PB SK,PB iPhone 11 Pro Max baterie,iPhone 11 Pro Max baterie,,,,
S8602,Baterie a displeje PB SK,PB iPhone 11 Pro Max display,iPhone 11 Pro Max display,,,,
S8267,Baterie a displeje PB SK,PB iPhone 12 Mini baterie,iPhone 12 Mini baterie,,,,
S8256,Baterie a displeje PB SK,PB iPhone 12 Mini displej,iPhone 12 Mini displej,,,,
S8265,Baterie a displeje PB SK,PB iPhone 12 Pro Max baterie,iPhone 12 Pro Max baterie,,,,
S8254,Baterie a displeje PB SK,PB iPhone 12 Pro Max displej,iPhone 12 Pro Max displej,,,,
S8266,Baterie a displeje PB SK,PB iPhone 12/12 Pro baterie,iPhone 12/12 Pro baterie,,,,
S8255,Baterie a displeje PB SK,PB iPhone 12/12 Pro displej,iPhone 12/12 Pro displej,,,,
S8263,Baterie a displeje PB SK,PB iPhone 13 baterie,iPhone 13 baterie,,,,
S8252,Baterie a displeje PB SK,PB iPhone 13 displej,iPhone 13 displej,,,,
S8264,Baterie a displeje PB SK,PB iPhone 13 Mini baterie,iPhone 13 Mini baterie,,,,
S8253,Baterie a displeje PB SK,PB iPhone 13 Mini displej,iPhone 13 Mini displej,,,,
S8262,Baterie a displeje PB SK,PB iPhone 13 Pro baterie,iPhone 13 Pro baterie,,,,
S8251,Baterie a displeje PB SK,PB iPhone 13 Pro displej,iPhone 13 Pro displej,,,,
S8261,Baterie a displeje PB SK,PB iPhone 13 Pro Max baterie,iPhone 13 Pro Max baterie,,,,
S8250,Baterie a displeje PB SK,PB iPhone 13 Pro Max displej,iPhone 13 Pro Max displej,,,,
S8260,Baterie a displeje PB SK,PB iPhone 14 baterie,iPhone 14 baterie,,,,
S8257,Baterie a displeje PB SK,PB iPhone 14 Plus baterie,iPhone 14 Plus baterie,,,,
S8259,Baterie a displeje PB SK,PB iPhone 14 Pro baterie,iPhone 14 Pro baterie,,,,
S8258,Baterie a displeje PB SK,PB iPhone 14 Pro Max baterie,iPhone 14 Pro Max baterie,,,,
S8201,Baterie a displeje PB SK,PB iPhone SE 2022 baterie,iPhone SE 2022 baterie,,,,
S8601,Baterie a displeje PB SK,PB iPhone SE 2020 displej,iPhone SE 2020 displej,,,,
S8608,Baterie a displeje PB SK,PB iPhone X displej,iPhone X displej,,,,
S8203,Krabice,krabice na výkup telefony,,,,"iPhone 6, iPhone 6 Plus, iPhone 7, iPhone 7 Plus, iPhone 8, iPhone 8 Plus, iPhone X, iPhone XS, iPhone XS Max, iPhone XR, iPhone 11, iPhone 11 Pro, iPhone 11 Pro Max, iPhone 12 mini, iPhone 12, iPhone 12 Pro, iPhone 12 Pro Max, iPhone 13 mini, iPhone 13, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14, iPhone 14 Plus, iPhone 14 Pro, iPhone 14 Pro Max",
S8204,Krabice,krabice na výkup watch,,,,Apple Watch,
S8205,Krabice,krabice na výkup iPad + Mac,,,,"iPad, MacBook",
S8206,Krabice,krabice na výkup ovladače,,,,ovladače,
S8207,Krabice,krabice výkup Xbox Serie S + Nintendo + Rog Ally,,,,,
S8208,Krabice,krabice na výkup Lenovo + Xbox S/X,,,,,
S8209,Krabice,krabice výkup Xbox Series X,,,,,
S8210,Krabice,krabice výkup PS4+PS5,,,,,
